Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status,
ACAD-1000,Acadia National Park,Mammal,Artiodactyla,Cervidae,Alces alces,Moose,Approved,Present,Native,Rare,Resident,,
ACAD-1001,Acadia National Park,Mammal,Artiodactyla,Cervidae,Odocoileus virginianus,"Northern White-Tailed Deer, Virginia Deer, White-Tailed Deer",Approved,Present,Native,Abundant,,,
ACAD-1002,Acadia National Park,Mammal,Carnivora,Canidae,Canis latrans,"Coyote, Eastern Coyote",Approved,Present,Not Native,Common,,Species of Concern,
ACAD-1003,Acadia National Park,Mammal,Carnivora,Canidae,Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",Approved,Not Confirmed,Native,,,Endangered,
ACAD-1004,Acadia National Park,Mammal,Carnivora,Canidae,Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",Approved,Present,Unknown,Common,Breeder,,
ACAD-1005,Acadia National Park,Mammal,Carnivora,Felidae,Lynx canadensis,Canada Lynx,Approved,Not Confirmed,Native,,,,
ACAD-1006,Acadia National Park,Mammal,Carnivora,Felidae,Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",Approved,Not Present (Historical Report),Not Native,,Vagrant,,
ACAD-1007,Acadia National Park,Mammal,Carnivora,Mephitidae,Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",Approved,Not Present (Historical Report),Native,,,,
ACAD-1008,Acadia National Park,Mammal,Carnivora,Mustelidae,Lutra canadensis,"Otter, River Otter",Approved,Present,Native,Common,Breeder,,
ACAD-1009,Acadia National Park,Mammal,Carnivora,Mustelidae,Martes pennanti,"Blackcat, Fisher, Pekan",Approved,Present,Native,Rare,,,
ACAD-1010,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela,Weasel,In Review,Not Confirmed,Unknown,,,,
ACAD-1011,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel",Approved,Present,Native,Uncommon,,,
ACAD-1012,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela frenata,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel",Approved,Present,Native,Uncommon,,,
ACAD-1013,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela macrodon,"Ancient Sea Mink, Big Sea Mink, Sea Mink",Approved,Not Confirmed,Native,,,,
ACAD-1014,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela vison,"American Mink, Mink",Approved,Present,Native,Uncommon,,,
ACAD-1015,Acadia National Park,Mammal,Carnivora,Odobenidae,Odobenus rosmarus,Walrus,Approved,Not Confirmed,Not Native,,,,
ACAD-1016,Acadia National Park,Mammal,Carnivora,Phocidae,Halichoerus grypus,Gray Seal,Approved,Not Confirmed,Native,,,,
ACAD-1017,Acadia National Park,Mammal,Carnivora,Phocidae,Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",Approved,Not Confirmed,Native,,,,
ACAD-1018,Acadia National Park,Mammal,Carnivora,Procyonidae,Procyon lotor,"Common Raccoon, Raccoon",Approved,Present,Native,Common,,,
ACAD-1019,Acadia National Park,Mammal,Carnivora,Ursidae,Ursus americanus,Black Bear,Approved,Present,Native,Occasional,,,
ACAD-1020,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat",Approved,Present,Native,Uncommon,,Species of Concern,
ACAD-1021,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,Silver-Haired Bat,Approved,Present,Native,Unknown,,Species of Concern,
ACAD-1022,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",Approved,Present,Native,Occasional,Migratory,,
ACAD-1023,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus cinereus,Hoary Bat,Approved,Present,Native,Unknown,,,
ACAD-1024,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis keenii,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat",Approved,Present,Native,Common,,Species of Concern,
ACAD-1025,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis leibii,"Eastern Small-Footed Myotis, Small-Footed Myotis",Approved,Not Present (Historical Report),Native,,,Species of Concern,
ACAD-1026,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Approved,Present,Native,Common,,Species of Concern,
ACAD-1027,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",Approved,Not Present (False Report),Not Native,,,,
ACAD-1028,Acadia National Park,Mammal,Lagomorpha,Leporidae,Lepus americanus,"Snowshoe Hare, Varying Hare",Approved,Present,Native,Common,Breeder,,
ACAD-1029,Acadia National Park,Mammal,Rodentia,Castoridae,Castor canadensis,"American Beaver, Beaver, Canadian Beaver",Approved,Present,Not Native,Common,Breeder,,
ACAD-1030,Acadia National Park,Mammal,Rodentia,Cricetidae,Clethrionomys gapperi,"Boreal Redback Vole, Red-Backed Mouse, Red-Backed Vole, Southern Red-Backed Vole, White-Mountain Red-Backed Mouse",Approved,Present,Native,Common,Breeder,,
ACAD-1031,Acadia National Park,Mammal,Rodentia,Cricetidae,Microtus pennsylvanicus,"Field Mouse, Meadow Mouse, Meadow Vole",Approved,Not Present (Historical Report),Native,,Breeder,,
ACAD-1032,Acadia National Park,Mammal,Rodentia,Cricetidae,Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",Approved,Not Present (Historical Report),Native,,,,
ACAD-1033,Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus leucopus,White-Footed Mouse,Approved,Present,Native,Common,Breeder,,
ACAD-1034,Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,Deer Mouse,Approved,Present,Native,Abundant,Breeder,,
ACAD-1035,Acadia National Park,Mammal,Rodentia,Cricetidae,Synaptomys cooperi,"Cooper Lemming Mouse, Southern Bog Lemming",Approved,Present,Native,Rare,Breeder,,
ACAD-1036,Acadia National Park,Mammal,Rodentia,Dipodidae,Napaeozapus insignis,Woodland Jumping Mouse,Approved,Present,Native,Rare,Breeder,,
ACAD-1037,Acadia National Park,Mammal,Rodentia,Dipodidae,Zapus hudsonius,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1038,Acadia National Park,Mammal,Rodentia,Erethizontidae,Erethizon dorsatum,"Hedgehog, Porcupine",Approved,Present,Not Native,Common,Breeder,,
ACAD-1039,Acadia National Park,Mammal,Rodentia,Muridae,Mus musculus,House Mouse,Approved,Not Present (Historical Report),Not Native,,,,
ACAD-1040,Acadia National Park,Mammal,Rodentia,Muridae,Rattus norvegicus,"Brown Rat, Norway Rat",Approved,Not Confirmed,Not Native,,,,
ACAD-1041,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys,Glaucomys Sp.,In Review,Not Confirmed,Not Native,,,,
ACAD-1042,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys sabrinus,"Mearns Flying Squirrel, Northern Flying Squirrel",Approved,Present,Native,Common,Breeder,,
ACAD-1043,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys volans,Southern Flying Squirrel,Approved,Not Confirmed,Not Native,,,,
ACAD-1044,Acadia National Park,Mammal,Rodentia,Sciuridae,Marmota monax,"Groundhog, New England Woodchuck, Woodchuck",Approved,Present,Not Native,Common,Breeder,,
ACAD-1045,Acadia National Park,Mammal,Rodentia,Sciuridae,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel",Approved,Present,Not Native,Common,,,
ACAD-1046,Acadia National Park,Mammal,Rodentia,Sciuridae,Tamias striatus,"Northeastern Chipmunk, Striped Squirrel, Eastern Chipmunk, Ground Squirrel, Lyster Chipmunk",Approved,Present,Native,Abundant,Breeder,,
ACAD-1047,Acadia National Park,Mammal,Rodentia,Sciuridae,Tamiasciurus hudsonicus,"Chickaree, Red Squirrel",Approved,Present,Native,Common,Breeder,,
ACAD-1048,Acadia National Park,Mammal,Soricomorpha,Soricidae,Blarina brevicauda,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1049,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex cinereus,Masked Shrew,Approved,Present,Native,Abundant,Breeder,,
ACAD-1050,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex fumeus,"Northern Smoky Shrew, Smoky Shrew",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1051,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex hoyi,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew",Approved,Present,Native,Common,,,
ACAD-1052,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex palustris,"Northern Water Shrew, Water Shrew, White-Lipped Water Shrew",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1053,Acadia National Park,Mammal,Soricomorpha,Talpidae,Condylura cristata,Star-Nosed Mole,Approved,Present,Native,Common,Breeder,,
ACAD-1054,Acadia National Park,Mammal,Soricomorpha,Talpidae,Parascalops breweri,"Brewer's Mole, Hairy-Tailed Mole",Approved,Not Confirmed,Native,,,,
ARCH-1000,Arches National Park,Mammal,Artiodactyla,Antilocapridae,Antilocapra americana,Pronghorn,Approved,Present,Native,Uncommon,,,
ARCH-1001,Arches National Park,Mammal,Artiodactyla,Bovidae,Ovis canadensis,Bighorn Sheep,Approved,Present,Native,Uncommon,Breeder,Species of Concern,
ARCH-1002,Arches National Park,Mammal,Artiodactyla,Cervidae,Cervus canadensis,Elk,Approved,Present,Native,Unknown,,,
ARCH-1003,Arches National Park,Mammal,Artiodactyla,Cervidae,Odocoileus hemionus,Mule Deer,Approved,Present,Native,Uncommon,,,
ARCH-1004,Arches National Park,Mammal,Carnivora,Canidae,Canis latrans,Coyote,Approved,Present,Native,Uncommon,,Species of Concern,
ARCH-1005,Arches National Park,Mammal,Carnivora,Canidae,Urocyon cinereoargenteus,Common Gray Fox,Approved,Present,Native,Uncommon,,,
ARCH-1006,Arches National Park,Mammal,Carnivora,Canidae,Vulpes macrotis,Kit Fox,Approved,Present,Native,Unknown,Breeder,,
ARCH-1007,Arches National Park,Mammal,Carnivora,Canidae,Vulpes vulpes,Red Fox,Approved,Present,Native,Rare,,,
ARCH-1008,Arches National Park,Mammal,Carnivora,Felidae,Lynx rufus,Bobcat,Approved,Present,Native,Unknown,,,
ARCH-1009,Arches National Park,Mammal,Carnivora,Felidae,Puma concolor,Mountain Lion,Approved,Present,Native,Rare,Breeder,,
ARCH-1010,Arches National Park,Mammal,Carnivora,Mephitidae,Mephitis mephitis,Striped Skunk,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1011,Arches National Park,Mammal,Carnivora,Mephitidae,Spilogale gracilis,Western Spotted Skunk,Approved,Present,Native,Unknown,,,
ARCH-1012,Arches National Park,Mammal,Carnivora,Mustelidae,Lontra canadensis,Northern River Otter,Approved,Present,Unknown,Unknown,,,
ARCH-1013,Arches National Park,Mammal,Carnivora,Mustelidae,Mustela frenata,Long-Tailed Weasel,Approved,Not Confirmed,Native,,,,
ARCH-1014,Arches National Park,Mammal,Carnivora,Mustelidae,Mustela vison,American Mink,Approved,Not Confirmed,Native,,,,
ARCH-1015,Arches National Park,Mammal,Carnivora,Mustelidae,Taxidea taxus,American Badger,Approved,Present,Native,Rare,Breeder,Species of Concern,
ARCH-1016,Arches National Park,Mammal,Carnivora,Procyonidae,Bassariscus astutus,Ringtail,Approved,Present,Native,Uncommon,Breeder,Species of Concern,
ARCH-1017,Arches National Park,Mammal,Carnivora,Procyonidae,Procyon lotor,Northern Raccoon,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1018,Arches National Park,Mammal,Carnivora,Ursidae,Ursus americanus,American Black Bear,Approved,Present,Native,Rare,,,
ARCH-1019,Arches National Park,Mammal,Chiroptera,Molossidae,Nyctinomops macrotis,Big Free-Tailed Bat,Approved,Present,Native,Uncommon,Breeder,Species of Concern,
ARCH-1020,Arches National Park,Mammal,Chiroptera,Molossidae,Tadarida brasiliensis,Brazilian Free-Tailed Bat,Approved,Present,Native,Uncommon,,,
ARCH-1021,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Antrozous pallidus,Pallid Bat,Approved,Present,Native,,,Species of Concern,
ARCH-1022,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Corynorhinus townsendii,Townsend's Big-Eared Bat,Approved,Not Confirmed,Native,,,,
ARCH-1023,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,Big Brown Bat,Approved,Not Confirmed,Native,,,Species of Concern,
ARCH-1024,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Euderma maculatum,Spotted Bat,Approved,Not Confirmed,Native,,,Species of Concern,
ARCH-1025,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Idionycteris phyllotis,Allen's Big-Eared Bat,Approved,Not Confirmed,Native,,,Species of Concern,
ARCH-1026,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,Silver-Haired Bat,Approved,Not Confirmed,Native,,,Species of Concern,
ARCH-1027,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus cinereus,Hoary Bat,Approved,Present,Native,Uncommon,Migratory,,
ARCH-1028,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Myotis californicus,California Myotis,Approved,Present,Native,Common,Breeder,Species of Concern,
ARCH-1029,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Myotis ciliolabrum,Western Small-Footed Myotis,Approved,Not Confirmed,Native,,,,
ARCH-1030,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Myotis evotis,Long-Eared Myotis,Approved,Not Confirmed,Native,,,Species of Concern,
ARCH-1031,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,Little Brown Myotis,Approved,Not Confirmed,Native,,,Species of Concern,
ARCH-1032,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Myotis thysanodes,Fringed Myotis,Approved,Not Confirmed,Native,,,Species of Concern,
ARCH-1033,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Myotis volans,Long-Legged Myotis,Approved,Not Confirmed,Native,,,Species of Concern,
ARCH-1034,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Myotis yumanensis,Yuma Myotis,Approved,Present,Native,Uncommon,Breeder,Species of Concern,
ARCH-1035,Arches National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus hesperus,Western Pipistrelle,Approved,Present,Native,Common,Breeder,Species of Concern,
ARCH-1036,Arches National Park,Mammal,Lagomorpha,Leporidae,Lepus californicus,Black-Tailed Jackrabbit,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1037,Arches National Park,Mammal,Lagomorpha,Leporidae,Sylvilagus audubonii,Desert Cottontail,Approved,Present,Native,Common,Breeder,,
ARCH-1038,Arches National Park,Mammal,Rodentia,Castoridae,Castor canadensis,American Beaver,Approved,Present,Native,Uncommon,,,
ARCH-1039,Arches National Park,Mammal,Rodentia,Cricetidae,Neotoma cinerea,Bushy-Tailed Woodrat,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1040,Arches National Park,Mammal,Rodentia,Cricetidae,Neotoma lepida,Desert Woodrat,Approved,Present,Native,Unknown,Breeder,,
ARCH-1041,Arches National Park,Mammal,Rodentia,Cricetidae,Ondatra zibethicus,Common Muskrat,Approved,Present,Native,Rare,Breeder,,
ARCH-1042,Arches National Park,Mammal,Rodentia,Cricetidae,Onychomys leucogaster,Northern Grasshopper Mouse,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1043,Arches National Park,Mammal,Rodentia,Cricetidae,Peromyscus boylii,Brush Mouse,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1044,Arches National Park,Mammal,Rodentia,Cricetidae,Peromyscus crinitus,Canyon Mouse,Approved,Present,Native,Common,Breeder,,
ARCH-1045,Arches National Park,Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,Deer Mouse,Approved,Present,Native,Common,Breeder,,
ARCH-1046,Arches National Park,Mammal,Rodentia,Cricetidae,Peromyscus truei,Pinon Mouse,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1047,Arches National Park,Mammal,Rodentia,Cricetidae,Reithrodontomys megalotis,Western Harvest Mouse,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1048,Arches National Park,Mammal,Rodentia,Erethizontidae,Erethizon dorsatum,North American Porcupine,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1049,Arches National Park,Mammal,Rodentia,Geomyidae,Thomomys bottae,Botta's Pocket Gopher,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1050,Arches National Park,Mammal,Rodentia,Heteromyidae,Dipodomys ordii,Ord's Kangaroo Rat,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1051,Arches National Park,Mammal,Rodentia,Heteromyidae,Perognathus flavescens,Plains Pocket Mouse,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1052,Arches National Park,Mammal,Rodentia,Muridae,Mus musculus,House Mouse,Approved,Not Confirmed,Not Native,,,,
ARCH-1053,Arches National Park,Mammal,Rodentia,Sciuridae,Ammospermophilus leucurus,White-Tailed Antelope Squirrel,Approved,Present,Native,Common,Breeder,,
ARCH-1054,Arches National Park,Mammal,Rodentia,Sciuridae,Cynomys leucurus,White-Tailed Prairie Dog,Approved,Present,Native,Uncommon,Breeder,,
ARCH-1055,Arches National Park,Mammal,Rodentia,Sciuridae,Neotamias rufus,Hopi Chipmunk,Approved,Present,Native,Common,Breeder,,
ARCH-1056,Arches National Park,Mammal,Rodentia,Sciuridae,Spermophilus variegatus,Rock Squirrel,Approved,Present,Native,Common,Breeder,,
ARCH-1057,Arches National Park,Mammal,Soricomorpha,Soricidae,Notiosorex crawfordi,Crawford's Desert Shrew,Approved,Not Confirmed,Native,,,,
ARCH-1058,Arches National Park,Mammal,Soricomorpha,Soricidae,Sorex merriami,Merriam's Shrew,Approved,Not Confirmed,Native,,,,
BADL-1000,Badlands National Park,Mammal,Artiodactyla,Antilocapridae,Antilocapra americana,"Pronghorn, Pronghorn",Approved,Present,Native,Common,Breeder,,
BADL-1001,Badlands National Park,Mammal,Artiodactyla,Bovidae,Bison bison,"American Bison, American Bison, Bison",Approved,Present,Native,Common,Breeder,,
BADL-1002,Badlands National Park,Mammal,Artiodactyla,Bovidae,Ovis canadensis,Bighorn Sheep,Approved,Present,Native,Common,Breeder,Species of Concern,
BADL-1003,Badlands National Park,Mammal,Artiodactyla,Cervidae,Cervus elaphus,"Elk, Red Deer (See Comments), Wapiti, Wapiti Or Elk",Approved,Not Confirmed,Native,,,,
BADL-1004,Badlands National Park,Mammal,Artiodactyla,Cervidae,Odocoileus hemionus,Mule Deer,Approved,Present,Native,Common,Breeder,,
BADL-1005,Badlands National Park,Mammal,Artiodactyla,Cervidae,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",Approved,Present,Native,Common,Breeder,,
BADL-1006,Badlands National Park,Mammal,Carnivora,Canidae,Canis latrans,"Coyote, Coyote Scat",Approved,Present,Native,Common,Breeder,Species of Concern,
BADL-1007,Badlands National Park,Mammal,Carnivora,Canidae,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Approved,Present,Native,Occasional,,,
BADL-1008,Badlands National Park,Mammal,Carnivora,Canidae,Vulpes velox,Swift Fox,Approved,Present,Native,Uncommon,Breeder,,
BADL-1009,Badlands National Park,Mammal,Carnivora,Canidae,Vulpes vulpes,Red Fox,Approved,Present,Native,Uncommon,Breeder,,
BADL-1010,Badlands National Park,Mammal,Carnivora,Felidae,Lynx rufus,Bobcat,Approved,Present,Native,Uncommon,Breeder,,
BADL-1011,Badlands National Park,Mammal,Carnivora,Felidae,Puma concolor,Mountain Lion,Approved,Present,Native,Rare,,,
BADL-1012,Badlands National Park,Mammal,Carnivora,Mephitidae,Mephitis mephitis,Striped Skunk,Approved,Present,Native,Uncommon,,,
BADL-1013,Badlands National Park,Mammal,Carnivora,Mephitidae,Spilogale putorius,Spotted Skunk,Approved,Not Confirmed,Native,,,,
BADL-1014,Badlands National Park,Mammal,Carnivora,Mustelidae,Lontra canadensis,"Common Otter, North American River Otter, Northern River Otter, River Otter",Approved,Not Confirmed,Native,,,,
BADL-1015,Badlands National Park,Mammal,Carnivora,Mustelidae,Mustela erminea,"Short-Tailed Weasel, Weasel",Approved,Not Confirmed,Native,,,,
BADL-1016,Badlands National Park,Mammal,Carnivora,Mustelidae,Mustela frenata,Long-Tailed Weasel,Approved,Present,Native,Occasional,Breeder,,
BADL-1017,Badlands National Park,Mammal,Carnivora,Mustelidae,Mustela nigripes,"Ferret, Black-Footed",Approved,Present,Native,Uncommon,Breeder,Endangered,
BADL-1018,Badlands National Park,Mammal,Carnivora,Mustelidae,Mustela nivalis,"Weasel, Least",Approved,Present,Native,Unknown,,,
BADL-1019,Badlands National Park,Mammal,Carnivora,Mustelidae,Taxidea taxus,Badger,Approved,Present,Native,Uncommon,Breeder,Species of Concern,
BADL-1020,Badlands National Park,Mammal,Carnivora,Procyonidae,Procyon lotor,Raccoon,Approved,Present,Native,Common,Breeder,,
BADL-1021,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Corynorhinus townsendii,"Mule-Eared Bat, Pacific Townsend's Big-Eared Bat, Townsend's Big-Eared Bat, Townsend's Big-Eared Bat, Western Big-Eared Bat, Western Long-Eared Bat, Western Lump-Nosed Bat",Approved,Present,Native,Uncommon,Breeder,,
BADL-1022,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Big Brown Bat",Approved,Present,Native,Common,Breeder,Species of Concern,
BADL-1023,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,"Bat, Silver-Haired",Approved,Present,Native,Unknown,,Species of Concern,
BADL-1024,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus cinereus,"Hoary Bat, Hoary Bat",Approved,Present,Native,Uncommon,,,
BADL-1025,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis ciliolabrum,"Bat, Small-Footed, Western Small-Footed",Approved,Present,Native,Common,Breeder,,
BADL-1026,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis evotis,Northern Myotis,Approved,Not Confirmed,Native,,,Species of Concern,
BADL-1027,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Bat, Little Brown, Little Brown Myotis",Approved,Present,Native,Uncommon,Breeder,Species of Concern,
BADL-1028,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis septentrionalis,Northern Long-Eared Bat,Approved,Present,Native,Uncommon,Breeder,Threatened,
BADL-1029,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis thysanodes pahasapensis,None,Approved,Present,Native,Uncommon,Breeder,Species of Concern,
BADL-1030,Badlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis volans,"Long-Legged Myotis, Long-Legged Myotis",Approved,Present,Native,Uncommon,Breeder,Species of Concern,
BADL-1031,Badlands National Park,Mammal,Lagomorpha,Leporidae,Lepus californicus,"Black-Tailed Jack Rabbit, Black-Tailed Jackrabbit",Approved,Not Confirmed,Native,,,,
BADL-1032,Badlands National Park,Mammal,Lagomorpha,Leporidae,Lepus townsendii,White-Tailed Jackrabbit,Approved,Not Confirmed,Native,,,,
BADL-1033,Badlands National Park,Mammal,Lagomorpha,Leporidae,Sylvilagus audubonii,Desert Cottontail,Approved,Present,Native,Unknown,,,
BADL-1034,Badlands National Park,Mammal,Lagomorpha,Leporidae,Sylvilagus floridanus,Eastern Cottontail,Approved,Not Confirmed,Native,,,,
BADL-1035,Badlands National Park,Mammal,Perissodactyla,Equidae,Equus caballus,"Feral Horse, Horse",Approved,Present,Not Native,Occasional,Vagrant,,
BADL-1036,Badlands National Park,Mammal,Rodentia,Castoridae,Castor canadensis,Beaver,Approved,Present,Native,Occasional,Breeder,,
BADL-1037,Badlands National Park,Mammal,Rodentia,Cricetidae,Microtus ochrogaster,Prairie Vole,Approved,Present,Native,Uncommon,,,
BADL-1038,Badlands National Park,Mammal,Rodentia,Cricetidae,Microtus pennsylvanicus,Meadow Vole,Approved,Not Confirmed,Native,,,,
BADL-1039,Badlands National Park,Mammal,Rodentia,Cricetidae,Neotoma cinerea,"Woodrat, Bushy-Tailed",Approved,Present,Native,Unknown,,,
BADL-1040,Badlands National Park,Mammal,Rodentia,Cricetidae,Ondatra zibethicus,Muskrat,Approved,Present,Native,Occasional,,,
BADL-1041,Badlands National Park,Mammal,Rodentia,Cricetidae,Onychomys leucogaster,"Mouse, Northern Grasshopper",Approved,Not Confirmed,Native,,,,
BADL-1042,Badlands National Park,Mammal,Rodentia,Cricetidae,Peromyscus leucopus,"Mouse, White-Footed",Approved,Present,Native,Common,Breeder,,
BADL-1043,Badlands National Park,Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,"Mouse, Deer",Approved,Present,Native,Common,Breeder,,
BADL-1044,Badlands National Park,Mammal,Rodentia,Cricetidae,Reithrodontomys megalotis,Western Harvest Mouse,Approved,Not Confirmed,Native,,,,
BADL-1045,Badlands National Park,Mammal,Rodentia,Cricetidae,Reithrodontomys montanus,Plains Harvest Mouse,Approved,Not Confirmed,Native,,,,
BADL-1046,Badlands National Park,Mammal,Rodentia,Dipodidae,Zapus hudsonius,Meadow Jumping Mouse,Approved,Not Confirmed,Native,,,,
BADL-1047,Badlands National Park,Mammal,Rodentia,Erethizontidae,Erethizon dorsatum,Porcupine,Approved,Present,Native,Unknown,,,
BADL-1048,Badlands National Park,Mammal,Rodentia,Geomyidae,Geomys bursarius,Plains Pocket Gopher,Approved,Not Confirmed,Native,,,,
BADL-1049,Badlands National Park,Mammal,Rodentia,Geomyidae,Thomomys talpoides,Northern Pocket Gopher,Approved,Not Confirmed,Native,,,,
BADL-1050,Badlands National Park,Mammal,Rodentia,Heteromyidae,Chaetodipus hispidus,Hispid Mouse,Approved,Not Confirmed,Native,,,,
BADL-1051,Badlands National Park,Mammal,Rodentia,Heteromyidae,Dipodomys,"Rat, Kangaroo",In Review,,,,,,
BADL-1052,Badlands National Park,Mammal,Rodentia,Heteromyidae,Dipodomys ordii,Ord's Kangaroo Rat,Approved,Not Confirmed,Native,,,,
BADL-1053,Badlands National Park,Mammal,Rodentia,Heteromyidae,Perognathus fasciatus,Olive-Backed Pocket Mouse,Approved,Not Confirmed,Native,,,,
BADL-1054,Badlands National Park,Mammal,Rodentia,Heteromyidae,Perognathus flavescens,Plain Pocket Mouse,Approved,Not Confirmed,Native,,,,
BADL-1055,Badlands National Park,Mammal,Rodentia,Muridae,Mus musculus,"Mouse, House",Approved,Not Confirmed,Not Native,,,,
BADL-1056,Badlands National Park,Mammal,Rodentia,Muridae,Rattus norvegicus,"Brown Rat, Norway Rat",Approved,Not Present,Not Native,,,,
BADL-1057,Badlands National Park,Mammal,Rodentia,Sciuridae,Cynomys ludovicianus,"Arizona Black-Tailed Prairie Dog, Black-Tailed Prairie Dog",Approved,Present,Native,Common,Breeder,,
BADL-1058,Badlands National Park,Mammal,Rodentia,Sciuridae,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",Approved,Not Confirmed,Native,,,,
